States,Number_Teams
Alabama,0
Alaska,0
Arizona,1
Arkansas,0
California,4
Colorado,1
Connecticut,0
Delaware,0
Florida,2
Georgia,1
Hawaii,0
Idaho,0
Illinois,1
Indiana,1
Iowa,0
Kansas,0
Kentucky,0
Louisiana,1
Maine,0
Maryland,0
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,2
North Carolina,1
North Dakota,0
Ohio,1
Oklahoma,1
Oregon,1
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,1
Texas,3
Utah,1
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,1
Wyoming,0
Washington DC*,1