Team,States
Phoenix Suns,Arizona
Golden State Warriors,California
Los Angeles Clippers,California
Los Angeles Lakers,California
Sacramento Kings,California
Denver Nuggets,Colorado
Miami Heat,Florida
Orlando Magic,Florida
Atlanta Hawks,Georgia
Chicago Bulls,Illinois
Indiana Pacers,Indiana
New Orleans Pelicans,Louisiana
Boston Celtics,Massachusetts
Detroit Pistons,Michigan
Minnesota Timberwolves,Minnesota
Brooklyn Nets,New York
New York Knicks,New York
Charlotte Hornets,North Carolina
Cleveland Cavaliers,Ohio
Oklahoma City Thunder,Oklahoma
Portland Trail Blazers,Oregon
Philadelphia 76ers,Pennsylvania
Memphis Grizzlies,Tennessee
Dallas Mavericks,Texas
Houston Rockets,Texas
San Antonio Spurs,Texas
Utah Jazz,Utah
Milwaukee Bucks,Wisconsin
Washington Wizards,Washington DC
Toronto Raptors,CANADA